page	line	token	pieces	leftFont	rightFont	fontChange	gapEm	dy	spaceGlyph	native	found
187	91	2q4	2q + 4	-	-	-	-	-	-	38) 2q4	no
189	3	5places	5 + places	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	big number. Move decimal right 5places	yes
189	8	3places	3 + places	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.132	0.00	no	is a small number. Move decimal left 3places	yes
194	24	5when	5 + when	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	m4 + 8m3 + 14m2 +13m + 5when m =− 6	yes
194	32	(3v4	(3v + 4	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.039	4.68	no	16) (3v4 + 1)+ (5− v4)	yes
194	32	v4)	v + 4)	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.039	4.32	no	16) (3v4 + 1)+ (5− v4)	yes
195	1	(6r2	(6r + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.031	4.32	no	22) (1+ 6r2)+ (6r2	yes
195	28	(8r4	(8r + 4	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.031	4.32	no	35) (8r4	yes
195	29	5r3	5r + 3	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.031	4.32	no	− 5r3 +5r2)+ (2r2 + 2r3	yes
195	30	7r4	7r + 4	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.031	4.32	no	− 7r4 +1)	yes
197	8	14y2	14y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	12x2 + 21xy− 8xy− 14y2 	yes
197	10	14y2	14y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	12x2 +13xy− 14y2 Our Solution	yes
197	49	14y2	14y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	(7y)(− 2y)=− 14y2 	yes
197	51	14y2	14y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	− 8xy +21xy− 14y2 	yes
197	53	14y2	14y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	12x2 +13xy− 14y2 Our Solution	yes
198	19	14y2	14y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	− 8xy + 21xy− 14y2 and	yes
198	26	7by	7 + by	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	245 Multiply 7by 5then 3	yes
198	26	5then	5 + then	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	245 Multiply 7by 5then 3	yes
198	29	2by	2 + by	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Use 0 for placeholder, multiply 2by 5then 3	yes
198	29	5then	5 + then	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Use 0 for placeholder, multiply 2by 5then 3	yes
198	40	14y2	14y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	− 8xy− 14y2 	yes
198	42	14y2	14y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	12x2 +13xy− 14y2 	yes
199	13	5by	5 + by	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Multiply− 5by each term	yes
199	28	5y2	5y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	− 4xy− 10xy− 5y2 8x2	yes
199	31	5y2	5y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	− 14xy− 5y2 8x2	yes
199	36	5y2	5y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	− 10xy + 5y2	yes
199	39	5y2	5y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	− 14xy + 5y2	yes
200	13	7)(6r2	7)(6r + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.031	4.32	no	23) (r− 7)(6r2	yes
200	18	4y2)	4y + 2)	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	− 7xy + 4y2)	yes
200	21	(5k2	(5k + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.033	4.32	no	31) (5k2 +3k +3)(3k2 + 3k + 6)	yes
200	42	6v2)(6u2	6v + 2)(6u2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.039	4.32	no	32) (7u2 + 8uv− 6v2)(6u2 +4uv + 3v2)	yes
200	42	3v2)	3v + 2)	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.039	4.32	no	32) (7u2 + 8uv− 6v2)(6u2 +4uv + 3v2)	yes
202	9	36y2	36y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	− 36y2 	yes
206	31	1573	157 + 3	-	-	-	-	-	-	1573	no
210	31	4r2	4r + 2	-	-	-	-	-	-	21) 4r2	no
210	58	r2	r + 2	JJCYQV+CMMI8	QJAIEQ+CMR6	yes	0.033	2.88	no	− r2	yes
210	64	4v3	4v + 3	-	-	-	-	-	-	43) 4v3	no
210	65	21v2	21v + 2	JJCYQV+CMMI8	QJAIEQ+CMR6	yes	0.040	2.88	no	− 21v2 + 6v + 19	yes
210	69	3k3	3k + 3	JJCYQV+CMMI8	QJAIEQ+CMR6	yes	0.034	2.88	no	3k3 + 4k2 + 2k	yes
210	100	3v2	3v + 2	-	-	-	-	-	-	26) 3v2	no
210	104	8k3	8k + 3	-	-	-	-	-	-	30) 8k3	no
210	126	66k2	66k + 2	JJCYQV+CMMI8	QJAIEQ+CMR6	yes	0.034	2.88	no	− 66k2 + 12k + 37	yes
213	3	24x4y2z,	24x4 + y + 2z,	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.071	-4.32	no	GCF of 24x4y2z, 18x2y4	yes
213	3	24x4y2z,	24x4 + y + 2z,	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	GCF of 24x4y2z, 18x2y4	yes
213	4	12x3yz5	12x3 + yz + 5	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.071	-4.32	no	, and 12x3yz5	yes
213	4	12x3yz5	12x3 + yz + 5	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.047	4.32	no	, and 12x3yz5	yes
213	12	x2y	x2 + y	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.071	-4.32	no	x2y 	yes
213	14	6x2y	6x2 + y	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.071	-4.32	no	GCF = 6x2y Our Solution	yes
213	56	3x3y2z	3x3 + y + 2z	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.071	-4.20	no	3x3y2z + 5x4y3z5	yes
213	56	3x3y2z	3x3 + y + 2z	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.20	no	3x3y2z + 5x4y3z5	yes
213	57	4xy4	4xy + 4	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.20	no	− 4xy4 GCF is xy2	yes
214	0	3x3y2z	3x3 + y2z	FKJCVH+CMR7	RKECRD+CMMI10	yes	0.085	-3.60	no	3x3y2z	yes
214	1	xy2	xy + 2	-	-	-	-	-	-	xy2 =3x2z,	no
214	2	4xy4	4xy + 4	RKECRD+CMMI10	FKJCVH+CMR7	yes	0.040	3.60	no	− 4xy4	yes
214	4	xy2	xy + 2	-	-	-	-	-	-	xy2 = 5x3yz5	no
214	4	5x3yz5	5x3 + yz + 5	-	-	-	-	-	-	xy2 = 5x3yz5	no
214	6	xy2	xy + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	xy2	yes
214	7	xy2(3x2z	xy + 2(3x2z	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	xy2(3x2z +5x3yz5	yes
214	8	4y2	4y + 2	RKECRD+CMMI10	FKJCVH+CMR7	yes	0.040	3.60	no	=− 4y2 	yes
214	10	4y2)	4y + 2)	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	− 4y2) Our Solution	yes
214	38	12x5y2	12x5 + y + 2	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.071	-4.32	no	12x5y2	yes
214	38	12x5y2	12x5 + y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	12x5y2	yes
214	39	2x3y2(6x2	2x3 + y + 2(6x2	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.071	-4.32	no	2x3y2(6x2	yes
214	39	2x3y2(6x2	2x3 + y + 2(6x2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	2x3y2(6x2	yes
214	40	6x4y4	6x4 + y + 4	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.071	-4.32	no	− 6x4y4 +8x3y5 	yes
214	40	6x4y4	6x4 + y + 4	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	− 6x4y4 +8x3y5 	yes
214	43	3xy2	3xy + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	− 3xy2 +4y3) Our Solution	yes
215	17	35x3y3z	35x3 + y + 3z	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.071	-4.32	no	21) 20x8y2z2 +15x5y2z + 35x3y3z	yes
215	17	35x3y3z	35x3 + y + 3z	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	21) 20x8y2z2 +15x5y2z + 35x3y3z	yes
215	18	50x2y	50x2 + y	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.086	-4.32	no	23) 50x2y + 10y2 + 70xz2	yes
215	18	10y2	10y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	23) 50x2y + 10y2 + 70xz2	yes
215	18	70xz2	70xz + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.047	4.32	no	23) 50x2y + 10y2 + 70xz2	yes
215	25	27x2y5	27x2 + y + 5	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.086	-4.32	no	8) 27x2y5	yes
215	25	27x2y5	27x2 + y + 5	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	8) 27x2y5	yes
215	26	72x3y2	72x3 + y + 2	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.086	-4.32	no	− 72x3y2	yes
215	26	72x3y2	72x3 + y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	− 72x3y2	yes
215	27	8x3y2	8x3 + y + 2	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.086	-4.32	no	10) 8x3y2 +4x3	yes
215	27	8x3y2	8x3 + y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	10) 8x3y2 +4x3	yes
215	31	27y7	27y + 7	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.20	no	18) 27y7 +12y2x + 9y2	yes
215	31	9y2	9y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.20	no	18) 27y7 +12y2x + 9y2	yes
215	34	15q2r2	15q + 2r + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.038	4.32	no	22) 3p +12q− 15q2r2	yes
215	34	15q2r2	15q + 2r + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.031	4.32	no	22) 3p +12q− 15q2r2	yes
215	35	30y4z3x5	30y + 4z + 3x5	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	24) 30y4z3x5 +50y4z5	yes
215	35	30y4z3x5	30y + 4z + 3x5	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.047	4.32	no	24) 30y4z3x5 +50y4z5	yes
215	36	10y4z3x	10y + 4z + 3x	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	− 10y4z3x	yes
215	36	10y4z3x	10y + 4z + 3x	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.047	4.32	no	− 10y4z3x	yes
215	44	10y7	10y + 7	-	-	-	-	-	-	32)− 10y7 +6y10	no
215	45	8y8x	8y + 8x	-	-	-	-	-	-	− 4y10x− 8y8x	no
216	4	5xy	5x + y	MXANZU+CMMI12	MXANZU+CMMI12	no	0.106	0.00	no	GCF is often a monomial like in the problem 5xy + 10xz the GCF is the mono-	yes
219	9	7and	7 + and	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	y + 7and 7+ y are the same, use either one	yes
219	32	5in	5 + in	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Need to switch subtraction order, use− 5in middle	yes
219	33	3match	3 + match	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Now 2x− 3match on both! Factor out this GCF	yes
220	2	40r3	40r + 3	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.031	4.32	no	1) 40r3	yes
220	3	8r2	8r + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.031	4.32	no	− 8r2	yes
220	18	28y2x	28y + 2x	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.20	no	− 28y2x	yes
220	19	8y2	8y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	19) 40xy + 35x− 8y2	yes
220	29	14v3	14v + 3	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.039	4.32	no	4) 14v3 + 10v2	yes
220	29	10v2	10v + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.039	4.32	no	4) 14v3 + 10v2	yes
220	37	49r2	49r + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.031	4.32	no	− 49r2 +18r− 21	yes
220	44	25y2	25y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	24) 24xy + 25y2	yes
220	45	30y3	30y + 3	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	− 20x− 30y3	yes
222	9	6and	6 + and	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	6and 3, split the middle term	yes
223	36	9and	9 + and	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	− 9and 2, write the factors	yes
224	14	6and	6 + and	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	1· 6and 2· 3 	yes
225	16	15v2	15v + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.039	4.32	no	− 8uv + 15v2	yes
225	20	12y2	12y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	23) x2 + xy− 12y2	yes
225	21	12y2	12y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	25) x2 + 4xy− 12y2	yes
225	41	14v2	14v + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.039	4.32	no	− 9uv + 14v2	yes
225	46	5v2	5v + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.039	4.32	no	30) 5v2 + 20v− 25	yes
226	25	9and	9 + and	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	The numbers are 9and 2, split the middle term	yes
227	13	5y2	5y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	− xy− 5y2 	yes
227	14	5y2	5y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	4x2 +4xy− 5xy− 5y2 	yes
228	12	5k2	5k + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.033	4.32	no	13) 5k2 +13k +6	yes
228	16	49y2	49y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	19) 5x2 + 28xy− 49y2	yes
228	19	21k2	21k + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.033	4.32	no	23) 21k2	yes
228	24	4k2	4k + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.033	4.32	no	29) 4k2	yes
228	32	8y2	8y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	− 52xy + 8y2	yes
228	35	7v2	7v + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.039	4.20	no	4) 7v2	yes
228	39	3r2	3r + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.031	4.32	no	8) 3r2	yes
228	42	5k2	5k + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.033	4.32	no	12) 5k2	yes
228	44	3r2	3r + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.031	4.32	no	14) 3r2 + 16r +21	yes
228	45	10v2	10v + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.039	4.20	no	16) 3u2 + 13uv− 10v2	yes
228	47	5y2	5y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	− 2xy− 5y2	yes
228	48	28v2	28v + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.039	4.32	no	20) 5u2 + 31uv− 28v2	yes
228	52	4r2	4r + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.031	4.32	no	26) 4r2 + r− 3	yes
228	54	4r2	4r + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.031	4.32	no	30) 4r2 + 3r− 7	yes
228	59	36v2	36v + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.039	4.32	no	− 3uv− 36v2	yes
231	1	25y2	25y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	4x2 + 20xy + 25y2 	yes
231	5	Usesquareroots	Use + square + roots	-	-	-	-	-	-	Usesquareroots fromfirstandlastterms andsignfromthemiddle	no
231	34	4r2)	4r + 2)	-	-	-	-	-	-	(5p 2r)(25p2 10r 4r2) Use formula, use SOAP to fill in signs	no
232	34	4and	4 + and	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	The numbers are 4and 4, the same! Perfect Square	yes
233	2	r2	r + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.031	4.32	no	1) r2	yes
233	4	v2	v + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.039	4.32	no	3) v2	yes
233	8	9k2	9k + 2	-	-	-	-	-	-	7) 9k2	no
233	38	z4	z + 4	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.047	4.32	no	43) 16− z4	yes
233	40	y4	y + 4	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.20	no	− y4	yes
233	47	4v2	4v + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.039	4.32	no	6) 4v2	yes
233	55	k2	k + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.033	4.32	no	16) k2 +4k +4	yes
233	58	k2	k + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.033	4.32	no	20) k2	yes
234	27	196y2	196y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	4x2 + 56xy + 196y2 	yes
234	28	49y2)	49y + 2)	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	4(x2 + 14xy + 49y2) 	yes
234	31	7and	7 + and	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	7and 7, perfect square!	yes
235	2	2y	2 + y	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.071	-4.32	no	5x 2y +15xy− 35x2	yes
235	17	108x3y2	108x3 + y + 2	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.071	-4.32	no	108x3y2	yes
235	17	108x3y2	108x3 + y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	108x3y2	yes
235	18	39x2y2	39x2 + y + 2	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.071	-4.32	no	− 39x2y2 + 3xy2 	yes
235	18	39x2y2	39x2 + y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	− 39x2y2 + 3xy2 	yes
235	18	3xy2	3xy + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	− 39x2y2 + 3xy2 	yes
235	19	3xy2	3xy + 2	-	-	-	-	-	-	GCF first, 3xy2	no
235	20	3xy2(36x2	3xy + 2(36x2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.20	no	3xy2(36x2	yes
235	23	3xy2(36x2	3xy + 2(36x2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.20	no	3xy2(36x2	yes
236	4	4v2	4v + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.039	4.32	no	− 9uv + 4v2	yes
236	15	25y2	25y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	− 25y2	yes
236	20	20y2x	20y + 2x	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	23) 2x3 + 6x2y− 20y2x	yes
236	25	3k3	3k + 3	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.033	4.20	no	31) 3k3	yes
236	26	27k2	27k + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.033	4.20	no	− 27k2 +60k	yes
236	29	y2	y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	− 8xy + y2	yes
236	32	60y2x	60y + 2x	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.20	no	39) 9x3 + 21x2y− 60y2x	yes
236	39	5x2y	5x2 + y	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.071	-4.32	no	8) 2x3 + 5x2y + 3y2x	yes
236	39	3y2x	3y + 2x	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	8) 2x3 + 5x2y + 3y2x	yes
236	44	125v2	125v + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.039	4.32	no	− 150uv + 125v2	yes
236	46	27y3	27y + 3	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	− 27y3	yes
236	59	18y2	18y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	− 18y2	yes
236	60	2k2	2k + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.033	4.20	no	34) 2k2 +k− 10	yes
236	61	v2	v + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.039	4.32	no	36) v2 + v	yes
236	65	2u2v2	2u2v + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.039	4.32	no	42) 2u2v2	yes
236	66	11uv3	11uv + 3	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.039	4.32	no	− 11uv3 +15v4	yes
237	32	3and	3 + and	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	The numbers are− 3and 4, split the middle term	yes
241	18	7r2	7r + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.031	4.32	no	21) 7r2 + 84=− 49r	yes
241	21	3v2	3v + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.039	4.32	no	25) 3v2 + 7v =40	yes
241	23	4k2	4k + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.033	4.32	no	29) 4k2 +18k− 23 = 6k− 7	yes
241	37	v2	v + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.039	4.32	no	14) v2	yes
241	41	7k2	7k + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.033	4.32	no	18) 7k2 +57k +13 = 5	yes
243	25	5from	5 + from	-	-	-	-	-	-	x 0 or 3x +5 0 Subtract 5from second equation	no
244	9	5in	5 + in	-	-	-	-	-	-	x2 + 6x +8 when x =− 6 Substitute− 5in for each variable	no
244	29	15x4y2	15x4 + y + 2	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.071	-4.32	no	15x4y2	yes
244	29	15x4y2	15x4 + y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	15x4y2	yes
244	30	25x2y6	25x2 + y + 6	-	-	-	-	-	-	25x2y6 	no
244	32	5y4	5y + 4	-	-	-	-	-	-	5y4 Our Solution	no
245	12	8by	8 + by	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Reduce by dividing 24 and 8by 4	yes
245	23	3and	3 + and	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Divide out common factor (3x− 1) and divide 3and 6by 3	yes
245	23	6by	6 + by	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Divide out common factor (3x− 1) and divide 3and 6by 3	yes
246	10	3k2	3k + 2	-	-	-	-	-	-	7) 3k2 + 30k	no
247	24	2k2	2k + 2	JJCYQV+CMMI8	QJAIEQ+CMR6	yes	0.034	2.88	no	− 2k2	yes
249	5	24y4	24y + 4	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	24y4	yes
249	6	(3and	(3 + and	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Reduce coeﬃcients by dividing out common factors (3and 5)	yes
249	12	33x5y4	33x5 + y + 4	-	-	-	-	-	-	33x5y4 Our Solution	no
251	79	7r2	7r + 2	-	-	-	-	-	-	39) 7r2	no
251	149	7k2	7k + 2	JJCYQV+CMMI8	QJAIEQ+CMR6	yes	0.034	2.88	no	7k2	yes
253	8	8and	8 + and	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Find the LCD of 8and 6 	yes
253	11	8that	8 + that	-	-	-	-	-	-	24 is the first multiple of 8that is also divisible by 6	no
253	16	4x2y5	4x2 + y + 5	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.086	-4.32	no	Find the LCD of 4x2y5 and 6x4y3z6	yes
253	16	4x2y5	4x2 + y + 5	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	Find the LCD of 4x2y5 and 6x4y3z6	yes
253	17	4and	4 + and	-	-	-	-	-	-	First find the LCD of coeﬃcients 4and 6	no
256	83	5x2y,	5x2 + y,	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.086	-4.20	no	12) 5x2y, 25x3y5z	yes
256	83	25x3y5z	25x3 + y + 5z	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.071	-4.20	no	12) 5x2y, 25x3y5z	yes
256	83	25x3y5z	25x3 + y + 5z	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.20	no	12) 5x2y, 25x3y5z	yes
258	35	6by	6 + by	-	-	-	-	-	-	4 The LCD is 12. Build up, multiply 6by 2and 4 by 3	no
258	35	2and	2 + and	-	-	-	-	-	-	4 The LCD is 12. Build up, multiply 6by 2and 4 by 3	no
260	60	4factor	4 + factor	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Divide out x− 4factor	yes
261	37	2x2y	2x2 + y	QJAIEQ+CMR6	JJCYQV+CMMI8	yes	0.072	-2.28	no	2x2y	yes
261	110	x2y	x2 + y	QJAIEQ+CMR6	JJCYQV+CMMI8	yes	0.072	-2.28	no	x2y	yes
261	195	4z2	4z + 2	JJCYQV+CMMI8	QJAIEQ+CMR6	yes	0.048	2.28	no	4z2	yes
265	24	2in	2 + in	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Factor out 2in denominator	yes
265	46	4(m2)	4(m + 2)	-	-	-	-	-	-	m(m2)+ 4(m2)	no
267	43	a2	a + 2	JJCYQV+CMMI8	CDUUDX+EuropeanComputerModern-R	yes	18.226	-4.80	no	a2	yes
267	56	a2	a + 2	JJCYQV+CMMI8	CDUUDX+EuropeanComputerModern-R	yes	18.226	-4.80	no	a2	yes
