page	line	token	pieces	class	atRunBoundary	marked
256	83	25x3y5z	25x3 + y + 5z	word	yes	12) 5x¦2¦y, 25x¦3¦y¦5¦z
258	35	6by	6 + by	word	no	4 The LCD is 12. Build up, multiply 6by 2and 4 by 3
258	35	2and	2 + and	word	no	4 The LCD is 12. Build up, multiply 6by 2and 4 by 3
260	60	4factor	4 + factor	word	no	Divide out x− 4factor
261	37	2x2y	2x2 + y	word	yes	2x¦2¦y
261	110	x2y	x2 + y	word	yes	x¦2¦y
261	195	4z2	4z + 2	word	yes	4z¦2
265	24	2in	2 + in	word	no	Factor out 2in denominator
265	46	4(m2)	4(m + 2)	word	yes	m(m¦2¦)+ ¦4(m¦2¦)
267	43	a2	a + 2	word	no	a2
267	56	a2	a + 2	word	no	a2
267	80	x−2y	x−2 + y	word	yes	x¦−2¦y +xy¦−2
270	12	8from	8 + from	word	no	Subtract 8from both sides
270	33	k2	k + 2	word	yes	k¦2 ¦+k− 6= 24 
270	37	k2	k + 2	word	yes	k¦2 ¦+k− 30 =0 Factor
271	3	8feet,	8 + feet,	word	no	The flagpole has a shadow of 8feet, but we don¦′¦t know the height
271	23	9points	9 + points	word	no	Don¦′¦t know visitor score, but home is 9points less
271	26	6for	6 + for	word	no	7 Home team scored 6for every 7 the visitor scored
274	10	3x−	3 + x−	word	no	3x−
276	7	6from	6 + from	word	no	Subtract 6from both sides
276	15	3in	3 + in	word	no	Check− 3in (x + 1)(x +2), it works
276	17	1in	1 + in	word	no	Check 1in (x + 1)(x +2), it works
276	58	5in	5 + in	word	no	Check 5in (x− 1)(x− 2), it works
276	60	2in	2 + in	word	no	Check− 2in (x− 1)(x− 2), it works
280	42	1lbs	1 + lbs	word	no	1lbs
281	2	1lbs	1 + lbs	word	no	1lbs
281	39	1ft	1 + ft	word	no	factor would be squared, ¦1ft
281	45	8cubic	8 + cubic	word	no	Convert 8cubic feet to yd¦3 ¦Write 8ft¦3 ¦as fraction, put it over 1
283	24	1tab	1 + tab	word	no	1tab Convert tab to mg, put tab in denominator
283	30	1tab	1 + tab	word	no	1tab
283	31	1dose	1 + dose	word	no	1dose
283	39	1dose	1 + dose	word	no	1dose
290	18	y6	y + 6	word	yes	√ · y¦6
290	19	z10	z + 10	word	yes	· z¦10
290	35	y9	y + 9	word	yes	√ · y¦9
290	36	z6	z + 6	word	yes	· z¦6
291	14	196v2	196v + 2	word	yes	15) 196v¦2
291	18	100k4	100k + 4	word	yes	19)− 100k¦4
291	23	45x2y2	45x2 + y + 2	word	yes	25) 45x¦2¦y¦2
291	24	16x3y3	16x3 + y + 3	word	yes	27) 16x¦3¦y¦3
291	25	320x4y4	320x4 + y + 4	word	yes	29) 320x¦4¦y¦4
291	26	80xy2	80xy + 2	word	yes	31) 6 80xy¦2
291	27	245x2y3	245x2 + y + 3	word	yes	33) 5 245x¦2¦y¦3
291	31	80hj4k	80hj + 4k	word	yes	39) 2 80hj¦4¦k
291	60	72x2y2	72x2 + y + 2	word	yes	34) 2 72x¦2¦y¦2
291	61	72x3y4	72x3 + y + 4	word	yes	36)− 5 72x¦3¦y¦4
291	64	32xy2z3	32xy + 2z + 3	word	yes	40)− 32xy¦2¦z¦3
291	65	32m2p4q	32m2 + p4 + q	word	yes	42)− 8 32m¦2¦p¦4¦q
293	38	x25y17z3	x25y + 17z + 3	word	yes	x¦25¦y¦17¦z¦3
293	39	x5y3	x5 + y + 3	word	yes	x¦5¦y¦3 ¦y¦2¦z¦3
293	39	y2z3	y + 2z + 3	word	yes	x¦5¦y¦3 ¦y¦2¦z¦3
293	42	5R	5 + R	word	no	5 ¦= 5R 0, so x¦5 ¦came out, no x’s
293	44	3R2,	3 + R + 2,	word	no	5 ¦= 3R2, so y¦3 ¦came out, and y¦2 ¦remains
293	44	y3	y + 3	word	yes	5 ¦= 3R2, so y¦3 ¦came out, and y¦2 ¦remains
293	44	y2	y + 2	word	yes	5 ¦= 3R2, so y¦3 ¦came out, and y¦2 ¦remains
293	46	0R3,	0R + 3,	word	no	5 ¦= 0R3, all three or z¦3 ¦remained inside. The
293	46	z3	z + 3	word	yes	5 ¦= 0R3, all three or z¦3 ¦remained inside. The
293	51	8works!	8 + works!	word	no	Looking for cubes that divide into 40. The number 8works!
294	20	48v7	48v + 7	word	yes	21)− 2− 48v¦7
294	24	135x5y3	135x5 + y + 3	word	yes	25)− 135x¦5¦y¦3
294	26	32x4y4	32x4 + y + 4	word	yes	27)− 32x¦4¦y¦4
294	28	256x4y6	256x4 + y + 6	word	yes	29) 256x¦4¦y¦6
294	30	81x3y7	81x3 + y + 7	word	yes	31) 7− 81x¦3¦y¦7
294	32	375u2v8	375u2v + 8	word	yes	33) 2 375u¦2¦v¦8
294	36	54m8n3p7	54m8n3 + p7	word	yes	37) 6− 54m¦8¦n¦3¦p¦7
294	63	64u5v3	64u5v + 3	word	yes	26) 64u¦5¦v¦3
294	66	189x3y6	189x3 + y + 6	word	yes	30) 189x¦3¦y¦6
294	69	56x2y8	56x2 + y + 8	word	yes	32)− 4 56x¦2¦y¦8
294	73	135xy3	135xy + 3	word	yes	36) 3 135xy¦3
294	79	324x7yz7	324x7 + yz + 7	word	yes	42)− 6 324x¦7¦yz¦7
299	51	5and	5 + and	word	no	√ by dividing by 5and 2 respectively
300	13	1more	1 + more	word	no	√ Index is 2, we need two fives in denominator, need 1more
300	32	3more	3 + more	word	no	Index is 4, we need four twos in denominator, need 3more
300	50	1more	1 + more	word	no	Index is 3, we need three fives in denominator, need 1more
301	23	1more	1 + more	word	no	√ Index is 2, need two elevens, need 1more
301	36	6x3y4z	6x3 + y + 4z	word	yes	18 6x¦3¦y¦4¦z
301	38	10xy6z3	10xy + 6z + 3	word	yes	8 10xy¦6¦z¦3
301	42	5y2z3	5y + 2z + 3	word	yes	4 5y¦2¦z¦3
301	46	5y2z3	5y + 2z + 3	word	yes	4 5y¦2¦z¦3
301	51	53y2z	53 + y + 2z	word	yes	5¦3¦y¦2¦z
301	53	53y2z	53 + y + 2z	word	yes	4 ¦Multiply numerator and denominator by 5¦3¦y¦2¦z
301	54	53y2z	53 + y + 2z	word	yes	5¦3¦y¦2¦z
301	55	375x2y2z	375x2 + y + 2z	word	yes	9 375x¦2¦y¦2¦z
301	59	375x2y2z	375x2 + y + 2z	word	yes	9 375x¦2¦y¦2¦z
302	39	3x3y3	3x3 + y + 3	word	yes	4 3x¦3¦y¦3
302	42	3p	3 + p	word	no	3p
302	51	5r4	5r + 4	word	yes	37) ¦5 5r¦4
302	53	8r2	8r + 2	word	yes	8r¦2
302	57	5r3	5r + 3	word	yes	4) 5r¦3
302	58	10r2	10r + 2	word	yes	√ · − 5 10r¦2
302	90	3xy4	3xy + 4	word	yes	5 3xy¦4
310	64	•9p	•9 + p	word	yes	•9¦p ¦to represent 9
311	74	x2y	x2 + y	word	yes	x¦2¦y
312	22	2x−1y	2x−1 + y	word	yes	2x¦−1¦y
313	70	xy2)0	xy + 2)0	word	yes	20) (x· xy¦2¦)¦0
313	71	(x0y	(x0 + y	word	yes	21) (x¦0¦y
313	86	4v2	4 + v + 2	word	yes	4¦v¦2
313	94	4y	4 + y	word	yes	4¦y
313	110	2n	2 + n	word	yes	2¦n ¦2
313	133	4y	4 + y	word	yes	4¦y ¦1¦)
313	141	2y0)	2 + y + 0)	word	yes	2¦y¦0¦)
313	143	y4	y + 4	word	yes	y¦4 ¦· x ¦2¦y
313	150	(uv2)	(uv + 2)	word	yes	33) ¦(uv¦2¦)
313	157	3y3)	3 + y + 3)	word	yes	3¦y¦3¦)
313	179	4v2	4 + v + 2	word	yes	4¦v¦2
314	10	x6y2	x6 + y + 2	word	yes	x¦6¦y¦2
314	12	(x6y2)	(x6 + y + 2)	word	yes	(x¦6¦y¦2¦)
314	25	x3y	x3 + y	word	yes	x¦3¦y
315	48	x2y	x2 + y	word	yes	5 ¦x¦2¦y
315	49	x3y4	x3 + y + 4	word	yes	x¦3¦y¦4
315	61	8xy3	8xy + 3	word	yes	3 ¦8xy¦3
315	62	4x2y	4x2 + y	word	yes	4x¦2¦y
315	63	8as	8 + as	word	no	4 ¦Rewrite 4 as 2¦2 ¦and 8as 2¦3
315	64	23xy3	23xy + 3	word	yes	3 ¦2¦3¦xy¦3
315	65	22x2y	22x2 + y	word	yes	2¦2¦x¦2¦y
316	4	9as	9 + as	word	no	3 ¦Rewrite 9as 3¦2
316	24	x7y2z	x7 + y + 2z	word	yes	x¦7¦y¦2¦z
316	28	x21y6z3	x21y + 6z + 3	word	yes	x¦21¦y¦6¦z¦3
316	31	y6z5	y + 6z + 5	word	yes	y¦6¦z¦5
316	34	y6z5	y + 6z + 5	word	yes	y¦6¦z¦5
317	3	16x4y6	16x4 + y + 6	word	yes	1) 16x¦4¦y¦6
317	10	x6y9	x6 + y + 9	word	yes	7) x¦6¦y¦9
317	14	8x3y6	8x3 + y + 6	word	yes	11) 8x¦3¦y¦6
317	16	9x2y6	9x2 + y + 6	word	yes	2) 9x¦2¦y¦6
317	23	64x8y4	64x8 + y + 4	word	yes	8) 64x¦8¦y¦4
317	25	25y2	25y + 2	word	yes	10) 25y¦2
317	27	81x8y12	81x8 + y + 12	word	yes	12) 81x¦8¦y¦12
317	38	x2y	x2 + y	word	yes	19) x¦2¦y
317	42	xy2	xy + 2	word	yes	21) xy¦2
317	44	x2y	x2 + y	word	yes	x¦2¦y
317	55	xy3	xy + 3	word	yes	29) xy¦3 ¦x¦2¦y
317	55	x2y	x2 + y	word	yes	29) xy¦3 ¦x¦2¦y
317	59	3xy2z	3xy + 2z	word	yes	33) 3xy¦2¦z
317	60	9x3yz2	9x3 + yz + 2	word	yes	3 ¦9x¦3¦yz¦2
317	99	x2yz3	x2 + yz + 3	word	yes	24) x¦2¦yz¦3
317	100	x2yz2	x2 + yz + 2	word	yes	6 ¦x¦2¦yz¦2
317	112	2x3y3	2x3 + y + 3	word	yes	32) 2x¦3¦y¦3 ¦4xy¦2
317	112	4xy2	4 + xy + 2	word	no	32) 2x¦3¦y¦3 ¦4xy¦2
319	17	4and	4 + and	word	no	Combine like terms 2+ 4and 5i− 7i
320	27	1and	1 + and	word	no	=− 1and i¦3 ¦=− i
322	13	1is	1 + is	word	no	√ Square root of− 1is i, square root of 4is 2
322	13	4is	4 + is	word	no	√ Square root of− 1is i, square root of 4is 2
322	40	1and	1 + and	word	no	√ Take square root of− 1and 100
326	22	2from	2 + from	word	no	Subtract 2from both sides
327	12	6from	6 + from	word	no	Subtract 6from both sides
329	27	1from	1 + from	word	no	Subtract x and 1from both sides
329	42	4to	4 + to	word	no	Add 4to both sides of second equation
330	42	0first	0 + first	word	no	3(0)+ 9− (0)+ 4 =− 1 Check x = 0first
334	15	4from	4 + from	word	no	Subtract 4from both sides
334	21	6from	6 + from	word	no	Subtract 6from both sides
334	30	1from	1 + from	word	no	Subtract 1from both sides
335	6	2equations!	2 + equations!	word	no	Solve, need 2equations!
335	35	2to	2 + to	word	no	+ 2 + 2 Add 2to both sides
337	28	5from	5 + from	word	no	x +5 =± 3 2√ Subtract 5from both sides
338	2	bx	b + x	word	no	of the form x¦2 ¦+ bx + c, and a perfect square, the third term, c, can be easily
340	1	2x2	2 + x2	word	no	2x¦2 ¦+ 20x 
340	24	5from	5 + from	word	no	Subtract 5from both sides
340	39	2to	2 + to	word	no	Add 2to both sides
342	12	y2	y + 2	word	yes	7) y¦2
342	18	v2	v + 2	word	yes	11) v¦2
342	21	5k2	5k + 2	word	yes	15) 5k¦2
342	32	3k2	3k + 2	word	yes	29) 3k¦2 ¦+9= 6k
342	40	v2	v + 2	word	yes	41) v¦2 ¦+ 5v + 28 =0
342	43	k2	k + 2	word	yes	45) k¦2
342	48	8r2	8r + 2	word	yes	51) 8r¦2 ¦+ 10r =− 55
342	58	r2	r + 2	word	yes	6) r¦2
342	76	6r2	6r + 2	word	yes	22) 6r¦2 ¦+ 12r− 24=− 6
342	79	v2	v + 2	word	yes	26) v¦2
342	89	3r2	3r + 2	word	yes	38)− 3r¦2 ¦+12r + 49=− 6r¦2
342	89	6r2	6r + 2	word	yes	38)− 3r¦2 ¦+12r + 49=− 6r¦2
342	101	10v2	10v + 2	word	yes	56) 10v¦2
342	104	4v2	4v + 2	word	yes	− 15v = 27 + 4v¦2
347	7	3r2	3r + 2	word	yes	7) 3r¦2
347	11	v2	v + 2	word	yes	11) v¦2
347	14	3k2	3k + 2	word	yes	15) 3k¦2 ¦+3k− 4= 7
347	28	3k2	3k + 2	word	yes	2) 3k¦2 ¦+2= 0
347	44	3r2	3r + 2	word	yes	24) 3r¦2 ¦+ 4=− 6r
347	47	6v2	6v + 2	word	yes	28) 6v¦2 ¦= 4+ 6v
347	49	2k2	2k + 2	word	yes	32) 2k¦2 ¦+6k− 16 = 2k
347	54	7r2	7r + 2	word	yes	37) 7r¦2
348	15	4from	4 + from	word	no	− 4− 4 +2 + 2 Subtract 4from first, add 2to second
348	15	2to	2 + to	word	no	− 4− 4 +2 + 2 Subtract 4from first, add 2to second
348	37	2from	2 + from	word	no	Subtract 2from the first, subtract 3from the second
348	37	3from	3 + from	word	no	Subtract 2from the first, subtract 3from the second
349	18	3from	3 + from	word	no	Subtract 3from both sides
349	31	2from	2 + from	word	no	Subtract 2from both sides
350	13	2from	2 + from	word	no	Subtract 2from both sides
350	31	4from	4 + from	word	no	Subtract 4from both sides
350	54	3from	3 + from	word	no	Subtract 3from both sides
352	6	ax2	a + x2	word	no	ax¦2 ¦+ bx + c, however, we can use the skills learned to solve quadratics to solve
352	22	y2	y + 2	word	yes	y¦2 ¦=x¦4 ¦Square both sides
352	23	y2	y + 2	word	yes	y¦2
352	25	y2	y + 2	word	yes	Substitute y for x¦2 ¦and y¦2 ¦for x¦4
353	23	1power	1 + power	word	no	Raise both sides to− 1power
353	39	6from	6 + from	word	no	Subtract 6from both sides
353	44	y2	y + 2	word	yes	y¦2
353	46	2y2	2y + 2	word	yes	2y¦2 ¦+ y− 6 =0 
354	9	y2	y + 2	word	yes	y¦2 ¦= (x− 7)¦2 
354	11	3y2	3y + 2	word	yes	3y¦2
354	48	y2	y + 2	word	yes	y¦2 ¦=(x¦2
354	50	y2	y + 2	word	yes	y¦2
354	66	9to	9 + to	word	no	Add 9to both sides of each equation
355	5	3to	3 + to	word	no	Add 3to both sides
355	16	y2	y + 2	word	yes	y¦2
355	18	y2	y + 2	word	yes	y¦2
355	20	y2	y + 2	word	yes	Substitute y¦2 ¦for x¦6 ¦and y for x¦3
356	14	z6	z + 6	word	yes	11) z¦6
356	16	6z4	6z + 4	word	yes	13) 6z¦4
356	17	z2	z + 2	word	yes	− z¦2
356	56	y4	y + 4	word	yes	2) y¦4
356	57	9y2	9y + 2	word	yes	− 9y¦2 ¦+20 = 0
356	58	y4	y + 4	word	yes	4) y¦4
356	59	29y2	29y + 2	word	yes	− 29y¦2 ¦+100 = 0
356	62	y4	y + 4	word	yes	8) y¦4
356	63	40y2	40y + 2	word	yes	− 40y¦2 ¦+144 = 0
356	66	y4	y + 4	word	yes	12) y¦4
356	67	2y2	2y + 2	word	yes	− 2y¦2 ¦=24
357	13	4more,	4 + more,	word	no	Length is 4more, or x +4, and area is 40.
358	17	5in	5 + in	word	no	5in by 8in Our Solution
359	9	4more,	4 + more,	word	no	x We don¦′¦t know width, x, length is 4more, x +4
359	31	2to	2 + to	word	no	x +4is the length. Substitute 2to find
359	32	2ft	2 + ft	word	no	2ft by 6ft Our Solution
360	43	8by	8 + by	word	no	12 +2x Draw picture, picture if 8by 10
361	9	2inches	2 + inches	word	no	2inches Our Solution
364	47	22	2 + 2	word	yes	2¦2
364	51	22	2 + 2	word	no	5 Together time, 22
364	53	22	2 + 2	word	no	22
366	36	112	1 + 12	word	no	1 hr 12 min = 112
366	38	112	1 + 12	word	no	112
366	39	11	1 + 1	word	no	60 = 11
367	18	1from	1 + from	word	no	5 or x =3 Subtract 1from each to find electrician
367	22	3hours	3 + hours	word	no	Electrician:2hr, Apprentice: 3hours Our Solution
369	24	11	1 + 1	word	yes	22) One pipe can fill a cistern in 1¦1
373	42	3less	3 + less	word	no	When he sold, he sold 3less (n− 3), for S5
373	49	Findequatinosby	Find + equatinos + by	word	no	np=56 Findequatinosby multiplyingnumberbyprice
374	58	2less	2 + less	word	no	There were 2less that actually paid (n− 2)
374	59	S4more	S4 + more	word	no	and they had to pay S4more (p +4). The
375	39	1to	1 + to	word	no	Add 1to both sides
376	49	2r2	2r + 2	word	yes	2r¦2 ¦+ 100r− 1200=120r 
376	53	2r2	2r + 2	word	yes	2r¦2
376	56	r2	r + 2	word	yes	r¦2
377	35	2or	2 + or	word	no	Solving for rate, divide by r + 2or r− 2
377	62	2r2	2r + 2	word	yes	2r¦2
387	36	5a	5 + a	word	no	− x = 5a function? 
388	25	3and	3 + and	word	no	− 3and 2. If x were one of those two values, the function would be undefined.
389	18	2in	2 + in	word	no	Substitute− 2in for x in the function
389	37	7in	7 + in	word	no	Substitute− 7in for a in the function
391	10	y2	y + 2	word	yes	f) y¦2
391	12	y2	y + 2	word	yes	h) x¦2 ¦+ y¦2 ¦=1
402	27	5inverses?	5 + inverses?	word	no	2− 5inverses? Calculate composition
402	56	4into	4 + into	word	no	Distribute 3 and 4into numerators
403	41	2to	2 + to	word	no	+ 2 +2 Add 2to both sides
404	5	4from	4 + from	word	no	Subtract 4from both sides
404	25	3to	3 + to	word	no	Subtract 4xy and add 3to both sides
406	29	1from	1 + from	word	no	Subtract 1from both sides
407	2	8as	8 + as	word	no	Rewrite 8as 2¦3 ¦and 32 as 2¦5
407	4	3and	3 + and	word	no	Multiply exponents 3and 3x
407	25	4from	4 + from	word	no	Subtract 4from both sides
407	45	2and	2 + and	word	no	Multiply exponents− 2and 2x
407	57	axay	axa + y	word	yes	add the exponents using the property that states a¦x¦a¦y ¦=a¦x+y
408	10	1to	1 + to	word	no	Add 1to both sides
408	23	axay	axa + y	word	yes	= a ¦n ¦and a¦x¦a¦y ¦= a¦x+y
409	52	243p	243 + p	word	yes	22) 243¦p ¦=27¦−3p
409	62	8p	8 + p	word	yes	· 8¦p ¦=(¦1
410	46	log2	log + 2	word	yes	log¦2
412	14	5from	5 + from	word	no	Subtract 5from both sides
422	20	1so	1 + so	word	no	, put over 1so we have proportion
422	47	1so	1 + so	word	no	, put over 1so we have a proportion
431	24	a2	a + 2	word	yes	a¦2 ¦+b¦2
440	69	7k2	7k + 2	word	yes	41)− 7k¦2 ¦+ 42k
441	3	68k2	68k + 2	word	yes	57)− 68k¦2
441	26	v2	v + 2	word	yes	77)− v¦2 ¦+ 2v +2
441	28	4k2	4k + 2	word	yes	79)− 4k¦2 ¦+ 12
443	142	πr2	πr + 2	word	yes	s− πr¦2
449	39	11x	11 + x	word	yes	11¦x + ¦70
452	6	9or	9 + or	word	no	1) n− 9or n 2: (− ∞,− 9] [2, ∞)
452	7	4or	4 + or	word	no	2) m− 4or m <− 5 : ( − ∞,− 5) [− 4, ∞)
452	8	5or	5 + or	word	no	3) x 5or x <− 5: ( − ∞,− 5) [5, ∞)
452	9	0or	0 + or	word	no	4) r > 0or r <− 7 : ( − ∞ − 7), (0, ∞)
452	11	7or	7 + or	word	no	6) n <− 7or n > 8 : ( − ∞ − 7), (8, ∞)
452	25	8or	8 + or	word	no	20) r > 8or r <− 6: : ( − ∞,− 6) (8, ∞)
452	27	0or	0 + or	word	no	22) x 0or x > 8 : ( − ∞, 0] (8, ∞)
452	29	5or	5 + or	word	no	24) n 5or n < 1: ( − ∞, 1) [5, ∞)
453	3	1or	1 + or	word	no	28) a 1or a 19 : ( − ∞, 1] [19, ∞)
457	14	x3y6	x3 + y + 6	word	yes	8) x¦3¦y¦6
457	20	x3y3	x3 + y + 3	word	yes	14) x¦3¦y¦3
457	22	16x4y4	16x4 + y + 4	word	yes	16) 16x¦4¦y¦4
457	24	32x8y10	32x8 + y + 10	word	yes	1) 32x¦8¦y¦10
457	44	m2	m + 2	word	yes	21) m¦2
457	45	xy3	xy + 3	word	yes	22) ¦xy¦3
457	47	4x2y	4x2 + y	word	yes	23) ¦4x¦2¦y
457	51	4x10y14	4x10 + y + 14	word	yes	25) 4x¦10¦y¦14
457	52	8u18v6	8u18v + 6	word	yes	26) 8u¦18¦v¦6
457	53	2x17y16	2x17 + y + 16	word	yes	27) 2x¦17¦y¦16
457	63	y5x2	y + 5 + x2	word	yes	34) ¦y¦5¦x¦2
457	68	2x2y	2x2 + y	word	yes	37) 2x¦2¦y
457	69	2y2	2y + 2	word	yes	38) 2y¦2
457	73	256q4r8	256q + 4r + 8	word	yes	42) 256q¦4¦r¦8
457	74	4y4z	4y + 4z	word	yes	43) 4y¦4¦z
457	78	2x3y2	2x3 + y + 2	word	yes	4) 2x¦3¦y¦2
458	0	16x4y8	16x4 + y + 8	word	yes	5) 16x¦4¦y¦8
458	2	y16	y + 16	word	yes	7) y¦16 ¦x¦5
458	11	y8x5	y + 8 + x5	word	yes	12) ¦y¦8¦x¦5
458	41	y8x4	y + 8x4	word	yes	20) ¦y¦8¦x¦4
458	50	x15y	x15 + y	word	yes	x¦15¦y
458	51	4y4	4y + 4	word	yes	26) 4y¦4
458	54	4y5	4y + 5	word	yes	28) 4y¦5
458	74	2y5x4	2y + 5x4	word	yes	31) 2y¦5¦x¦4
458	78	x2y11z	x2 + y11z	word	yes	x¦2¦y¦11¦z
458	82	j6	j + 6	word	yes	h¦3¦k j¦6
458	90	y4z4	y4z + 4	word	yes	y¦4¦z¦4
459	20	2v4	2v + 4	word	yes	16) 2v¦4 ¦+ 6
459	36	12v3	12v + 3	word	yes	26) 12v¦3 ¦+ 3v +3
459	47	r4	r + 4	word	yes	35) r¦4
459	48	3r3	3r + 3	word	yes	− 3r¦3 ¦+ 7r¦2 ¦+1
459	48	7r2	7r + 2	word	yes	− 3r¦3 ¦+ 7r¦2 ¦+1
459	65	32k2	32k + 2	word	yes	2) 32k¦2 ¦+16k
459	75	4r2	4r + 2	word	yes	10) 4r¦2 ¦+ 40r+64
459	79	15v2	15v + 2	word	yes	13) 15v¦2
459	88	4y2	4y + 2	word	yes	− 14xy− 4y¦2
459	89	21v2	21v + 2	word	yes	18) 16u¦2 ¦+ 10uv− 21v¦2
459	92	48v2	48v + 2	word	yes	− 34uv− 48v¦2
459	96	6r3	6r + 3	word	yes	23) 6r¦3
459	97	43r2	43r + 2	word	yes	− 43r¦2 ¦+12r− 35
460	15	15k4	15k + 4	word	yes	31) 15k¦4 ¦+24k¦3 ¦+48k¦2 ¦+ 27k + 18
460	32	18v4	18v + 4	word	yes	− 18v¦4
460	46	4r2	4r + 2	word	yes	8) 4r¦2
460	52	16y2	16y + 2	word	yes	11) 16y¦2
460	58	9y2	9y + 2	word	yes	14) 9y¦2
460	62	4y2	4y + 2	word	yes	− 4y¦2
460	65	v2	v + 2	word	yes	18) v¦2 ¦+8v + 16
460	71	49k2	49k + 2	word	yes	22) 49k¦2
460	82	4y2	4y + 2	word	yes	29) 4x¦2 ¦+ 8xy + 4y¦2
460	83	25y2	25y + 2	word	yes	30) 64x¦2 ¦+ 80xy + 25y¦2
460	84	4r2	4r + 2	word	yes	31) 25 + 20r + 4r¦2
460	90	16v2	16v + 2	word	yes	35) 16v¦2
460	97	16k2	16k + 2	word	yes	39) 16k¦2 ¦+16k + 4
460	110	3k2	3k + 2	word	yes	4) ¦3k¦2
461	70	8k2	8k + 2	word	yes	30) 8k¦2
461	85	k2	k + 2	word	yes	34) k¦2
461	100	r2	r + 2	word	yes	39) r¦2 ¦+3r− 4−
461	110	v2	v + 2	word	yes	43) v¦2
461	116	4x3(2y2	4x3(2y + 2	word	yes	10) 4x¦3¦(2y¦2 ¦+1)
462	2	3y2(9y5	3y + 2(9y + 5	word	yes	18) 3y¦2¦(9y¦5 ¦+ 4x +3)
462	6	5x3y2z(4x5z	5x3 + y + 2z(4x5z	word	yes	21) 5x¦3¦y¦2¦z(4x¦5¦z +3x¦2 ¦+ 7y)
462	7	5q2r2)	5q + 2r + 2)	word	yes	22) 3(p + 4q− 5q¦2¦r¦2¦)
462	8	10(5x2y	10(5x2 + y	word	yes	23) 10(5x¦2¦y + y¦2 ¦+7xz¦2¦)
462	8	y2	y + 2	word	yes	23) 10(5x¦2¦y + y¦2 ¦+7xz¦2¦)
462	9	10y4z3	10y + 4z + 3	word	yes	24) 10y¦4¦z¦3 ¦(3x¦5 ¦+ 5z¦2
462	9	5z2	5z + 2	word	yes	24) 10y¦4¦z¦3 ¦(3x¦5 ¦+ 5z¦2
462	21	3y3	3y + 3	word	yes	32) 2y¦7¦(− 5+ 3y¦3
462	22	2xy3	2xy + 3	word	yes	− 2xy¦3
462	25	(8r2	(8r + 2	word	yes	1) (8r¦2
462	31	(2v2	(2v + 2	word	yes	4) (2v¦2
462	45	(7r2	(7r + 2	word	yes	12) (7r¦2 ¦+3)(6r− 7)
464	7	9y2)	9y + 2)	word	yes	12) 5(25x¦2 ¦+ 9y¦2¦)
464	35	9y2)	9y + 2)	word	yes	− 12xy + 9y¦2¦)
464	38	25y2)	25y + 2)	word	yes	− 15xy + 25y¦2¦)
464	43	z2	z + 2	word	yes	43) (4+ z¦2 ¦)(2+ z)(2− z)
464	45	y2)(x	y + 2)(x	word	yes	45) (x¦2 ¦+ y¦2¦)(x + y)(x− y)
464	54	16y2)	16y + 2)	word	yes	5) 2(− x + 4y)(x¦2 ¦+ 4xy + 16y¦2¦)
465	5	9y2)	9y + 2)	word	yes	16) (x− 3y)(x¦2 ¦+3xy + 9y¦2¦)
468	1	25x3y5z	25x3 + y + 5z	word	yes	12) 25x¦3¦y¦5¦z
469	3	x2y2	x2 + y + 2	word	yes	x¦2¦y¦2
469	16	3y2	3y + 2	word	yes	15) ¦3y¦2
469	18	2x2y2	2x2 + y + 2	word	yes	2x¦2¦y¦2
470	0	y2	y + 2	word	yes	33)¦x¦2 ¦+ y¦2
472	43	10k2	10k + 2	word	yes	19)− 10k¦2
472	61	8x2y2	8x2 + y + 2	word	yes	29) 8x¦2¦y¦2 ¦5
472	78	4v2	4v + 2	word	yes	21) 4v¦2 ¦6v
472	93	4xy2	4xy + 2	word	yes	29) 4xy¦2 ¦4x
472	105	30y2x	30y + 2x	word	yes	36)− 30y¦2¦x 2x
472	107	48x2z2y	48x2z + 2 + y	word	yes	37)− 48x¦2¦z¦2¦y 5
472	111	8j2	8j + 2	word	yes	39) 8j¦2 ¦5hk
472	119	3xy2	3xy + 2	word	yes	30) 3xy¦2 ¦7
472	121	21xy2	21xy + 2	word	yes	31)− 21xy¦2 ¦3y
472	122	8y2	8y + 2	word	yes	32)− 8y¦2 ¦7x¦2¦y¦2
472	122	7x2y2	7x2 + y + 2	word	yes	32)− 8y¦2 ¦7x¦2¦y¦2
472	125	10v2	10v + 2	word	yes	33) 10v¦2 ¦3u¦2¦v¦2
472	125	3u2v2	3u2v + 2	word	yes	33) 10v¦2 ¦3u¦2¦v¦2
472	133	2m2p	2m2 + p	word	yes	37)− 18m¦2¦np¦2 ¦2m¦2¦p
472	137	8xy3z2	8xy + 3z + 2	word	yes	39) 18xy 8xy¦3¦z¦2
472	141	14hj2k2	14hj + 2k + 2	word	yes	41) 14hj¦2¦k¦2 ¦8h¦2
473	1	4x3yz3	4x3 + yz + 3	word	yes	42)− 18xz 4x¦3¦yz¦3
473	66	25r2	25r + 2	word	yes	4)− 25r¦2 ¦2r
474	53	16xy2	16xy + 2	word	yes	16xy¦2
474	73	10r2	10r + 2	word	yes	37) ¦5 10r¦2
476	7	4x2y3	4x2 + y + 3	word	yes	1) 4x¦2¦y¦3
476	8	3xy3	3xy + 3	word	yes	2) 3xy¦3
476	20	x2y3	x2 + y + 3	word	yes	7) x¦2¦y¦3
476	22	8x4y2	8x4 + y + 2	word	yes	8) 8x¦4¦y¦2
